Filepath,Speaker,Text,Emotion
./dataset/crema-d\AudioWAV\1001_DFA_ANG_XX.wav,Crema_1001,Don't forget a jacket,Anger
./dataset/crema-d\AudioWAV\1001_DFA_DIS_XX.wav,Crema_1001,Don't forget a jacket,Disgust
./dataset/crema-d\AudioWAV\1001_DFA_FEA_XX.wav,Crema_1001,Don't forget a jacket,Fear
./dataset/crema-d\AudioWAV\1001_DFA_HAP_XX.wav,Crema_1001,Don't forget a jacket,Happy
./dataset/crema-d\AudioWAV\1001_DFA_NEU_XX.wav,Crema_1001,Don't forget a jacket,Neutral
./dataset/crema-d\AudioWAV\1001_DFA_SAD_XX.wav,Crema_1001,Don't forget a jacket,Sad
./dataset/crema-d\AudioWAV\1001_IEO_ANG_HI.wav,Crema_1001,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1001_IEO_ANG_LO.wav,Crema_1001,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1001_IEO_ANG_MD.wav,Crema_1001,It's eleven o'clock,Anger
./dataset/crema-d\AudioWAV\1001_IEO_DIS_HI.wav,Crema_1001,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1001_IEO_DIS_LO.wav,Crema_1001,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1001_IEO_DIS_MD.wav,Crema_1001,It's eleven o'clock,Disgust
./dataset/crema-d\AudioWAV\1001_IEO_FEA_HI.wav,Crema_1001,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1001_IEO_FEA_LO.wav,Crema_1001,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1001_IEO_FEA_MD.wav,Crema_1001,It's eleven o'clock,Fear
./dataset/crema-d\AudioWAV\1001_IEO_HAP_HI.wav,Crema_1001,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1001_IEO_HAP_LO.wav,Crema_1001,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1001_IEO_HAP_MD.wav,Crema_1001,It's eleven o'clock,Happy
./dataset/crema-d\AudioWAV\1001_IEO_NEU_XX.wav,Crema_1001,It's eleven o'clock,Neutral
./dataset/crema-d\AudioWAV\1001_IEO_SAD_HI.wav,Crema_1001,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1001_IEO_SAD_LO.wav,Crema_1001,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1001_IEO_SAD_MD.wav,Crema_1001,It's eleven o'clock,Sad
./dataset/crema-d\AudioWAV\1001_IOM_ANG_XX.wav,Crema_1001,I'm on my way to the meeting,Anger
./dataset/crema-d\AudioWAV\1001_IOM_DIS_XX.wav,Crema_1001,I'm on my way to the meeting,Disgust
./dataset/crema-d\AudioWAV\1001_IOM_FEA_XX.wav,Crema_1001,I'm on my way to the meeting,Fear
./dataset/crema-d\AudioWAV\1001_IOM_HAP_XX.wav,Crema_1001,I'm on my way to the meeting,Happy
./dataset/crema-d\AudioWAV\1001_IOM_NEU_XX.wav,Crema_1001,I'm on my way to the meeting,Neutral
./dataset/crema-d\AudioWAV\1001_IOM_SAD_XX.wav,Crema_1001,I'm on my way to the meeting,Sad
./dataset/crema-d\AudioWAV\1001_ITH_ANG_XX.wav,Crema_1001,I think I have a doctor's appointment,Anger
./dataset/crema-d\AudioWAV\1001_ITH_DIS_XX.wav,Crema_1001,I think I have a doctor's appointment,Disgust
./dataset/crema-d\AudioWAV\1001_ITH_FEA_XX.wav,Crema_1001,I think I have a doctor's appointment,Fear
./dataset/crema-d\AudioWAV\1001_ITH_HAP_XX.wav,Crema_1001,I think I have a doctor's appointment,Happy
